CATEGORY,TYPE,DETAIL,REQUEST TYPE
Air Quality,Pollutants,Indoor,Healthy Homes Program
Air Quality,Pollutants,Outdoor,Outdoor Air Quality
Air Quality,Tobacco,All,Smoking Complaints
Animal,Barking Dog,All,Barking Dog
Animal,Bite,*Select one,Animal Bite
Animal,Bite,All,Animal Bite
Animal,Emergency,*Select one,Animal Emergency
Animal,Emergency,Abused,Animal Emergency
Animal,Emergency,Aggressive,Animal Emergency
Animal,Emergency,Bat visible in house,Animal Control
Animal,Emergency,Bat visible in house,Animal Emergency
Animal,Emergency,Injured Cat or Dog,Animal Emergency
Animal,Injury or Cruelty involving an Animal,All,Injury or Cruelty Involving an Animal
Animal,Insect Problem,Bedbugs,Bedbugs Problem
Animal,Insect Problem,Integrated Pest Management Class,Integrated Pest Management Class
Animal,Investigation,All,Animal Investigation
Animal,Jackson County,Buckner,Animal Concerns Buckner Jackson County
Animal,Jackson County,Buckner,Animal Emergency Buckner Jackson County
Animal,Jackson County,Greenwood,Animal Concerns Greenwood Jackson County
Animal,Jackson County,Greenwood,Animal Emergency Greenwood Jackson County
Animal,Jackson County,Levacy,Animal Concerns Levacy Jackson County
Animal,Jackson County,Levacy,Emergency Animal Levacy Jackson County
Animal,Jackson County,Lone Jack,Animal Concerns Lone Jack Jackson County
Animal,Jackson County,Lone Jack,Animal Emergency Lone Jack Jackson County
Animal,Jackson County,Sibley,Animal Concerns Sibley Jackson County
Animal,Jackson County,Sibley,Animal Emergency Greenwood Jackson County
Animal,Jackson County,Sibley,Animal Emergency Sibley Jackson County
Animal,Jackson County,Sugar Creek,Animal Concerns Sugar Creek Jackson County
Animal,Jackson County,Sugar Creek,Animal Emergency Sugar Creek Jackson County
Animal,Jackson County,Unincorporated Areas of Jackson County,Animal Concerns Unincorporated Jackson County
Animal,Jackson County,Unincorporated Areas of Jackson County,Animal Concers Unicorporated Jackson County
Animal,Jackson County,Unincorporated Areas of Jackson County,Animal Emergency Unincorporated Jackson County
Animal,Jackson County,Unity Village,Animal Concerns Unity Village Jackson County
Animal,Jackson County,Unity Village,Animal Emergency Unity Village Jackson County
Animal,Other,Non Emergency,Animal Control
Animal,Other,Non Emergency,Animal Investigation
Animal,Owned or Stray at Large,All,Animal At Large
Animal,Repair,*Select one,Animal Control
Animal,Return Call to Citizen,All,Animal Admin Call Back
Animal,Return Call to Citizen,All,Animal Control Administration
Animal,Return Call to Citizen,Jack,Rat Control Education
Animal,Rodent,Rat,Rat Control Education
Animal,Rodent,Rat Control Treatment and Baiting,Rat Control Treatment
Animal,Stray Confined,Confined,Stray Animal Confined
Animal,Wildlife,All,Wildlife
Animals / Pets,Bite,Animal on Animal,Animals / Pets-Bite-Animal on Animal
Animals / Pets,Bite,Owned,Animals / Pets-Bite-Owned
Animals / Pets,Bite,Stray,Animals / Pets-Bite-Stray
Animals / Pets,Bite,Wildlife,Animals / Pets-Bite-Wildlife
Animals / Pets,Cruelty or Neglect,Abandonment,Animals / Pets-Cruelty or Neglect-Abandonment
Animals / Pets,Cruelty or Neglect,Abuse / Injury / Death,Animals / Pets-Cruelty or Neglect-Abuse / Injury / Death
Animals / Pets,Cruelty or Neglect,Inclement Weather,Animals / Pets-Cruelty or Neglect-Inclement Weather
Animals / Pets,Cruelty or Neglect,Shelter / Food / Water,Animals / Pets-Cruelty or Neglect-Shelter / Food / Water
Animals / Pets,Dead Animal,Curb,Animals / Pets-Dead Animal -Curb
Animals / Pets,Dead Animal,Private Property Nuisance,Property Violations
Animals / Pets,Dead Animal,Private Property Pickup,Animals / Pets-Dead Animal -Private Property Pickup
Animals / Pets,Dead Animal,Street,Animals / Pets-Dead Animal -Street
Animals / Pets,Permit / License,Chicken / Rooster,Animals / Pets-Permit / License-Chicken / Rooster
Animals / Pets,Permit / License,Livestock,Animals / Pets-Permit / License-Livestock
Animals / Pets,Permit / License,Other,Animals / Pets-Permit / License-Other
Animals / Pets,Permit / License,Permit Request,Animals / Pets-Permit / License-Permit Request
Animals / Pets,Permit / License,Rescue Permit,Animals / Pets-Permit / License-Rescue Permit
Animals / Pets,Permit / License,Vaccination / Pet License,Animals / Pets-Permit / License-Vaccination / Pet License
Animals / Pets,Questionable Activity,Cock Fighting,Animals / Pets-Questionable Activity-Cock fighting
Animals / Pets,Questionable Activity,Dog Fighting,Animals / Pets-Questionable Activity-Dog fighting
Animals / Pets,Questionable Activity,Other,Animals / Pets-Questionable Activity-Other
Animals / Pets,Questionable Activity,Over Limit / Hoarding,Animals / Pets-Questionable Activity-Over Limit / Hoarding
Animals / Pets,Rat Treatment,City Block,Animals / Pets-Rat Treatment-City Block
Animals / Pets,Rat Treatment,City Construction Site,Animals / Pets-Rat Treatment-City Const Site
Animals / Pets,Rat Treatment,In the Sewer,Animals / Pets-Rat Treatment-In the Sewer
Animals / Pets,Rat Treatment,Inside Home,Animals / Pets-Rat Treatment-Inside Residence
Animals / Pets,Rat Treatment,Outside,Animals / Pets-Rat Treatment-Outside
Animals / Pets,Rat Treatment,Vacant Home,Animals / Pets-Rat Treatment-Vacant Home
Animals / Pets,Rat Treatment,Vacant Lot,Animals / Pets-Rat Treatment-Vacant Property
Animals / Pets,Services,Barking Dog,Animals / Pets-Services-Barking Dog Letter
Animals / Pets,Services,Call Back Request,Animals / Pets-Services-Call Back Request
Animals / Pets,Services,Feedback,Animals / Pets-Services-Feedback
Animals / Pets,Services,Off Leash - Investigation,Animals / Pets-Services-Off Leash
Animals / Pets,Services,Off Leash - Investigation,Animals / Pets-Services-Off Leash - Investigation
Animals / Pets,Services,Officer Assist,Animals / Pets-Services-Officer Assist
Animals / Pets,Services,Question,Animals / Pets-Services-Question
Animals / Pets,Services,Repeated Report,Animals / Pets-Services-Repeated Report
Animals / Pets,Services,Service Issue / Problem,Animals / Pets-Services-Service Issue / Problem
Animals / Pets,Stray,At Large - Aggressive,Animals / Pets-Stray-At Large - Aggressive
Animals / Pets,Stray,At Large - Highway,Animals / Pets-Stray-At Large - Highway
Animals / Pets,Stray,At Large - Non-Aggressive,Animals / Pets-Stray-At Large - Non-Aggressive
Animals / Pets,Stray,At Large - Owned,Animals / Pets-Stray-At Large - Owned
Animals / Pets,Stray,At Large - Pack,Animals / Pets-Stray-At Large - Pack
Animals / Pets,Stray,Confined,Animals / Pets-Stray-Confined
Animals / Pets,Stray,Injured,Animals / Pets-Stray-Injured
Animals / Pets,Wildlife,Injured,Animals / Pets-Wildlife-Injured
Animals / Pets,Wildlife,Inside,Animals / Pets-Wildlife-Inside
Animals / Pets,Wildlife,Outside,Animals / Pets - Wildlife - Outside
Aviation,All,All,Aviation - All
Boulevard Parks and Rec,Bruce R. Watkins Freeway,All,Bruce R Watkins Freeway
Bridge,Repair,Bridge,Bridge Repair (All Districts)
Bulky Appointment,01,All,Bulky Appointment- July 1
Bulky Appointment,01,April,Bulky Appointment- Apr 1
Bulky Appointment,01,December,Bulky Appointment December 01
Bulky Appointment,01,June,Bulky Appointment- June 1
Bulky Appointment,01,MAY,Bulky Appointment - May 1
Bulky Appointment,02,April,Bulky Appointment- Apr 2
Bulky Appointment,02,December,Bulky Appointment DEC 02
Bulky Appointment,02,February,Bulky Appointment FEB 02
Bulky Appointment,02,January,Bulky Appointment JAN 02
Bulky Appointment,02,June,Bulky Appointment- June 2
Bulky Appointment,02,March,Bulky Appointment- MAR 2
Bulky Appointment,03,ALL,Bulky Appointment- Apr 3
Bulky Appointment,03,ALL,Bulky Appointment- July 3
Bulky Appointment,03,ALL,Bulky Appointment- June 3
Bulky Appointment,03,December,Bulky Appointment DEC 03
Bulky Appointment,03,February,Bulky Appointment FEB 03
Bulky Appointment,03,January,Bulky Appointment JAN 03
Bulky Appointment,03,March,Bulky Appointment- MAR 3
Bulky Appointment,04,All,Bulky Appointment - May 4
Bulky Appointment,04,All,Bulky Appointment- June 4
Bulky Appointment,04,December,Bulky Appointment DEC 04
Bulky Appointment,04,February,Bulky Appointment FEB 04
Bulky Appointment,04,March,Bulky Appointment- MAR 4
Bulky Appointment,05,ALL,Bulky Appointment - May 5
Bulky Appointment,05,ALL,Bulky Appointment-  August 5
Bulky Appointment,05,ALL,Bulky Appointment- June 5
Bulky Appointment,05,December,Bulky Appointment DEC 05
Bulky Appointment,05,February,Bulky Appointment FEB 05
Bulky Appointment,05,January,Bulky Appointment JAN 05
Bulky Appointment,05,March,Bulky Appointment- MAR 5
Bulky Appointment,06,All,Bulky Appointment - May 6
Bulky Appointment,06,All,Bulky Appointment- Apr 6
Bulky Appointment,06,All,Bulky Appointment- July 6
Bulky Appointment,06,February,Bulky Appointment FEB 06
Bulky Appointment,06,January,Bulky Appointment JAN 06
Bulky Appointment,06,March,Bulky Appointment- MAR 6
Bulky Appointment,07,ALL,Bulky Appointment - May 7
Bulky Appointment,07,ALL,Bulky Appointment- Apr 7
Bulky Appointment,07,ALL,Bulky Appointment- July 7
Bulky Appointment,07,January,Bulky Appointment JAN 07
Bulky Appointment,08,All,Bulky Appointment - May 8
Bulky Appointment,08,All,Bulky Appointment- Apr 8
Bulky Appointment,08,All,Bulky Appointment- July 8
Bulky Appointment,08,All,Bulky Appointment- June 8
Bulky Appointment,08,December,Bulky Appointment DEC 08
Bulky Appointment,08,January,Bulky Appointment JAN 08
Bulky Appointment,09,All,Bulky Appointment- Apr 9
Bulky Appointment,09,All,Bulky Appointment- July 9
Bulky Appointment,09,All,Bulky Appointment- June 9
Bulky Appointment,09,December,Bulky Appointment DEC 09
Bulky Appointment,09,FEB,Bulky Appointment FEB 09
Bulky Appointment,09,January,Bulky Appointment JAN 09
Bulky Appointment,09,March,Bulky Appointment- MAR 9
Bulky Appointment,10,All,Bulky Appointment-  August 10
Bulky Appointment,10,All,Bulky Appointment- Apr 10
Bulky Appointment,10,All,Bulky Appointment- July 10
Bulky Appointment,10,December,Bulky Appointment  DEC 10
Bulky Appointment,10,FEB,Bulky Appointment FEB 10
Bulky Appointment,10,June,Bulky Appointment- June 10
Bulky Appointment,10,March,Bulky Appointment- MAR 10
Bulky Appointment,11,All,Bulky Appointment - August 11
Bulky Appointment,11,All,Bulky Appointment - May 11
Bulky Appointment,11,All,Bulky Appointment- June 11
Bulky Appointment,11,December,Bulky Appointment DEC 11
Bulky Appointment,11,FEB,Bulky Appointment FEB 11
Bulky Appointment,11,March,Bulky Appointment- MAR 11
Bulky Appointment,12,ALL,Bulky Appointment - August 12
Bulky Appointment,12,ALL,Bulky Appointment - May 12
Bulky Appointment,12,ALL,Bulky Appointment- June 12
Bulky Appointment,12,December,Bulky Appointment DEC 12
Bulky Appointment,12,FEB,Bulky Appointment FEB 12
Bulky Appointment,12,January,Bulky Appointment JAN 12
Bulky Appointment,12,March,Bulky Appointment- MAR 12
Bulky Appointment,13,All,Bulky Appointment - August 13
Bulky Appointment,13,All,Bulky Appointment - May 13
Bulky Appointment,13,All,Bulky Appointment- Apr 13
Bulky Appointment,13,All,Bulky Appointment- July 13
Bulky Appointment,13,December,Bulky Appointment DEC 13
Bulky Appointment,13,FEB,Bulky Appointment FEB 13
Bulky Appointment,13,January,Bulky Appointment JAN 13
Bulky Appointment,13,March,Bulky Appointment- MAR 13
Bulky Appointment,14,All,Bulky Appointment - July 14
Bulky Appointment,14,All,Bulky Appointment - May 14
Bulky Appointment,14,All,Bulky Appointment- Apr 14
Bulky Appointment,14,All,Bulky Appointment- August 14
Bulky Appointment,14,January,Bulky Appointment JAN 14
Bulky Appointment,15,All,Bulky Appointment - May 15
Bulky Appointment,15,All,Bulky Appointment- Apr 15
Bulky Appointment,15,All,Bulky Appointment- July 15
Bulky Appointment,15,All,Bulky Appointment- June 15
Bulky Appointment,15,December,Bulky Appointment DEC 15
Bulky Appointment,15,January,Bulky Appointment JAN 15
Bulky Appointment,16,All,Bulky Appointment- Apr 16
Bulky Appointment,16,All,Bulky Appointment- July 16
Bulky Appointment,16,All,Bulky Appointment- June 16
Bulky Appointment,16,December,Bulky Appointment DEC 16
Bulky Appointment,16,January,Bulky Appointment JAN 16
Bulky Appointment,16,March,Bulky Appointment- MAR 16
Bulky Appointment,17,All,Bulky Appointment-  August 17
Bulky Appointment,17,All,Bulky Appointment- Apr 17
Bulky Appointment,17,All,Bulky Appointment- July 17
Bulky Appointment,17,All,Bulky Appointment- June 17
Bulky Appointment,17,December,Bulky Appointment DEC 17
Bulky Appointment,17,February,Bulky Appointment - FEB 17
Bulky Appointment,17,March,Bulky Appointment- MAR 17
Bulky Appointment,18,All,Bulky Appointment - May 18
Bulky Appointment,18,All,Bulky Appointment- June 18
Bulky Appointment,18,December,Bulky Appointment DEC 18
Bulky Appointment,18,February,Bulky Appointment - FEB 18
Bulky Appointment,18,March,Bulky Appointment- MAR 18
Bulky Appointment,19,All,Bulky Appointment - May 19
Bulky Appointment,19,All,Bulky Appointment- June 19
Bulky Appointment,19,December,Bulky Appointment DEC 19
Bulky Appointment,19,February,Bulky Appointment - FEB 19
Bulky Appointment,19,March,Bulky Appointment- MAR 19
Bulky Appointment,20,ALL,Bulky Appointment - May 20
Bulky Appointment,20,ALL,Bulky Appointment- Apr 20
Bulky Appointment,20,ALL,Bulky Appointment- July 20
Bulky Appointment,20,December,Bulky Appointment DEC 20
Bulky Appointment,20,February,Bulky Appointment - FEB 20
Bulky Appointment,20,January,Bulky Appointment JAN 20
Bulky Appointment,20,March,Bulky Appointment- MAR 20
Bulky Appointment,21,All,Bulky Appointment - May 21
Bulky Appointment,21,All,Bulky Appointment-  August 21
Bulky Appointment,21,All,Bulky Appointment- Apr 21
Bulky Appointment,21,All,Bulky Appointment- July 21
Bulky Appointment,21,December,Bulky Appointment DEC 21
Bulky Appointment,21,February,Bulky Appointment - FEB 21
Bulky Appointment,21,January,Bulky Appointment JAN 21
Bulky Appointment,22,All,Bulky Appointment - May 22
Bulky Appointment,22,All,Bulky Appointment- Apr 22
Bulky Appointment,22,All,Bulky Appointment- June 22
Bulky Appointment,22,December,Bulky Appointment DEC 22
Bulky Appointment,22,January,Bulky Appointment JAN 22
Bulky Appointment,23,All,Bulky Appointment- Apr 23
Bulky Appointment,23,All,Bulky Appointment- June 23
Bulky Appointment,23,December,Bulky Appointment DEC 23
Bulky Appointment,23,February,Bulky Appointment- FEB 23
Bulky Appointment,23,January,Bulky Appointment JAN 23
Bulky Appointment,23,March,Bulky Appointment- MAR 23
Bulky Appointment,24,All,Bulky Appointment-  August 24
Bulky Appointment,24,All,Bulky Appointment- Apr 24
Bulky Appointment,24,All,Bulky Appointment- July 24
Bulky Appointment,24,All,Bulky Appointment- June 24
Bulky Appointment,24,December,Bulky Appointment DEC 24
Bulky Appointment,24,February,Bulky Appointment- FEB 24
Bulky Appointment,24,January,Bulky Appointment JAN24
Bulky Appointment,24,March,Bulky Appointment- MAR 24
Bulky Appointment,25,All,Bulky Appointment- June 25
Bulky Appointment,25,February,Bulky Appointment- FEB 25
Bulky Appointment,25,March,Bulky Appointment- MAR 25
Bulky Appointment,26,All,Bulky Appointment - May 26
Bulky Appointment,26,All,Bulky Appointment- June 26
Bulky Appointment,26,December,Bulky Appointment
Bulky Appointment,26,December,Bulky Appointment - DEC 26
Bulky Appointment,26,February,Bulky Appointment- FEB 26
Bulky Appointment,26,January,Bulky Appointment JAN 26
Bulky Appointment,26,March,Bulky Appointment- MAR 26
Bulky Appointment,27,All,Bulky Appointment - April 27
Bulky Appointment,27,All,Bulky Appointment - May 27
Bulky Appointment,27,All,Bulky Appointment- July 27
Bulky Appointment,27,December,Bulky Appointment DEC 27
Bulky Appointment,27,February,Bulky Appointment- FEB 27
Bulky Appointment,27,January,Bulky Appointment JAN 27
Bulky Appointment,27,March,Bulky Appointment- MAR 27
Bulky Appointment,28,All,Bulky Appointment - April 28
Bulky Appointment,28,All,Bulky Appointment - May 28
Bulky Appointment,28,January,Bulky Appointment JAN 28
Bulky Appointment,29,All,Bulky Appointment - May 29
Bulky Appointment,30,All,Bulky Appointment - May 30
Capital Projects,PIAC,Department Referral,Capital Projects-PIAC-Department Referral
Capital Projects,PIAC,Question / Feedback,Capital Projects-PIAC-Question / Feedback
Capital Projects,PIAC,Resident Request,Capital Projects-PIAC-Resident Request
Capital Projects,Parks,Question / Feedback,Capital Projects-Parks-Question / Feedback
Capital Projects,Parks,Service Issue / Problem,Capital Projects-Parks-Service Issue / Problem
Capital Projects,Public Works,Question / Feedback,Capital Projects-Public Works-Question / Feedback
Capital Projects,Public Works,Service Issue / Problem,Capital Projects-Public Works-Service Issue / Problem
Capital Projects,Sewer,Engineering,Capital Projects-Sewer-Engineering
Capital Projects,Sewer,Question / Feedback,Capital Projects-Sewer-Question / Feedback
Capital Projects,Sewer,Service Issue / Problem,Capital Projects-Sewer-Service Issue / Problem
Capital Projects,Storm Water,Engineering,Capital Projects-Storm Water-Engineering
Capital Projects,Storm Water,Question / Feedback,Capital Projects-Storm Water-Question / Feedback
Capital Projects,Storm Water,Service Issue / Problem,Capital Projects-Storm Water-Service Issue / Problem
Capital Projects,Water,Basement Backup Prevent Proj,Capital Projects-Water-Basement Backup Prev Prog
Capital Projects,Water,Engineering,Capital Projects-Water-Engineering
Capital Projects,Water,Question / Feedback,Capital Projects-Water-Question / Feedback
Capital Projects,Water,Service Issue / Problem,Capital Projects-Water-Service Issue / Problem
City Clerks Office,All,All,City Clerks Office-All
City Facilities,Airports,KCI,City Facilities-Airports-KCI
City Facilities,Airports,Wheeler (Downtown),City Facilities-Airports-Wheeler (Downtown)
City Facilities,Building / Property,Aviation,City Facilities-Building / Property-Aviation
City Facilities,Building / Property,City Hall,City Facilities-Building / Property-City Hall
City Facilities,Building / Property,Convention Center,City Facilities-Building / Property-Convention Center
City Facilities,Building / Property,Fire Station Maintenance,City Facilities-Building / Property-Fire Station Maintenance
City Facilities,Building / Property,Municipal Court,City Facilities-Building / Property-Municipal Court
City Facilities,Building / Property,Other City Buildings,City Facilities-Building / Property-Other City Buildings
City Facilities,Building / Property,Water Services Department,City Facilities-Building / Property-Water Services Department
City Facilities,Parking,City Hall Garage,City Facilities-Parking-City Hall Garage
City Facilities,Parking,Other Garage,City Facilities-Parking-Other Garage
City Facilities,Parking,Wolf Garage,City Facilities-Parking-Wolf Garage
City Managers Office,Action Center,All,311 Action Center
City Managers Office,Action Center,All,City Managers Office-Action Center
City Managers Office,Action Center,Escalation,Action Center Escalation
City Managers Office,Action Center,Lacking Info Needed,City Managers Office-City Communications
City Managers Office,Administration,All,City Manager's Office-Administration
City Managers Office,Administration,All,City Managers Office-Administration
City Managers Office,Capital Improvement Management Office,All,City Manager's Office-Capital Improvement Management Office
City Managers Office,Capital Improvement Management Office,All,City Managers Office-Capital Improvement Management Office
City Managers Office,Capital Projects Office,All,Capital Projects Office
City Managers Office,City Communications,All,City Managers Office-City Communications
City Managers Office,Emergency Management,All,City Manager's Office-Emergency Management
City Managers Office,Emergency Management,All,City Managers Office-Emergency Management
City Managers Office,Google Fiber Project,Badge Identification,Google's FTTH Project Contractor Verification
City Managers Office,KC Police,All,Homeless Camp
City Managers Office,Public Improvement Advisory Committee,All,City Manager's Office-Public Improvement Advisory Committee
City Managers Office,Public Improvement Advisory Committee,All,City Managers Office-Public Improvement Advisory Committee
City Managers Office,Public Improvement Advisory Committee,Referred from a department,PIAC Referral From Department
City Planning & Development,Administration,All,City Planning & Development-Administration
City Planning & Development,Land Development,Inspection,Erosion or Sediment
Cleaning,Alley,District One,Alley Cleaning (North of the River)
Cleaning,Alley,District Three,Alley Cleaning (South of 47th Street and West of BLue PKWY)
Cleaning,Alley,District Three,Alley Cleaning (South of 47th Street)
Cleaning,Alley,District Two,Alley Cleaning (South of 47th Street and West of BLue PKWY)
Cleaning,Alley,District Two,Alley Cleaning (South of River to 47th Street and East of Blue PKWY)
Cleaning,Alley,District Two,Alley Cleaning (South of River to 47th Street)
Cleaning,Alley,District Two,Information Request-Neighborhood
Consumer Services,Research,Admin Tasks,Water Bill Admin Tasks
Consumer Services,Research,General,Water Bill Concerns
Consumer Services,Research,High Bill,High Water Bill Inspection
Consumer Services,Stormwater Billing,All,Stormwater Charges
Consumer Services,Supervisors,Escalation,Info Center Escalation
Consumer Services,Walk In Center City Hall,All,Water Services Same Day Service
Consumer Services,Water Billing,Adjustment,High Bill Adjustment
Consumer Services,Water Billing,All,High Water Bill Inspection
Consumer Services,Water Billing,Disconnect Service,Field Services Escalation
Consumer Services,Water Billing,Emergency Off,Emergency Water Turn Off
Consumer Services,Water Billing,New Water Service,New Water Service
Consumer Services,Water Billing,No Bill,No Water Bill Received
Consumer Services,Water Billing,Payment Issues,Water Payment or Refund
Consumer Services,Water Billing,Turn Off for Repairs,Turn Off Water Service For A Repair
Consumer Services,Water Billing,Turn On Repairs Made,Turn On Water Services - Internal Repairs Completed
Consumer Services,Water Billing,Turn On for Paid Bill,Turn On Water Services For Paid Bill
Consumer Services,WaterServices-ConsumerServices-BackOfficeSupport,WaterServices-ConsumerServices-BackOfficeSupport,Back Office Support
Convention & Entertainment Center,All,All,Convention and Entertainment Center-All
Data Not Available,Data Not Available,Data Not Available,Abandoned Vehicle
Data Not Available,Data Not Available,Data Not Available,Animal Control
Data Not Available,Data Not Available,Data Not Available,Animals / Pets-Dead Animal -Private Property Pickup
Data Not Available,Data Not Available,Data Not Available,Animals / Pets-Services-Barking Dog Letter
Data Not Available,Data Not Available,Data Not Available,Animals / Pets-Services-Off Leash - Investigation
Data Not Available,Data Not Available,Data Not Available,Building Code and Permit Violations
Data Not Available,Data Not Available,Data Not Available,Bulky Appointment - DEC 26
Data Not Available,Data Not Available,Data Not Available,Bulky Appointment JAN 15
Data Not Available,Data Not Available,Data Not Available,Bulky Pick-up Missed
Data Not Available,Data Not Available,Data Not Available,Capital Projects-Public Works-Service Issue / Problem
Data Not Available,Data Not Available,Data Not Available,Catch Basins and Storm Water Concerns
Data Not Available,Data Not Available,Data Not Available,City Maintained Property List
Data Not Available,Data Not Available,Data Not Available,Dangerous Building
Data Not Available,Data Not Available,Data Not Available,Dead Animal Pick-up
Data Not Available,Data Not Available,Data Not Available,Demolition Debris and Landfill
Data Not Available,Data Not Available,Data Not Available,Drug Abatement Response Team
Data Not Available,Data Not Available,Data Not Available,Food Establishment Complaints
Data Not Available,Data Not Available,Data Not Available,Government-311 Administration-Feedback
Data Not Available,Data Not Available,Data Not Available,Government-311 Administration-Field Investigation
Data Not Available,Data Not Available,Data Not Available,Government-NHS (Neighborhood Housing Services)-Assessment Dispute
Data Not Available,Data Not Available,Data Not Available,Issues on City Maintained Property
Data Not Available,Data Not Available,Data Not Available,Leaf and Brush Pick-up Missed
Data Not Available,Data Not Available,Data Not Available,Lights / Signals-Traffic Signal-New Signal Request
Data Not Available,Data Not Available,Data Not Available,Mowing on the Right of Way
Data Not Available,Data Not Available,Data Not Available,Mud and silt
Data Not Available,Data Not Available,Data Not Available,Nuisance Violations
Data Not Available,Data Not Available,Data Not Available,Paint Program
Data Not Available,Data Not Available,Data Not Available,Prop/Build/Construct - Land Use / Zoning - Miscellaneous Zoning
Data Not Available,Data Not Available,Data Not Available,Prop/Build/Construct - Land Use / Zoning - Unapproved Land Use
Data Not Available,Data Not Available,Data Not Available,Prop/Build/Construct-Construction Issue/Concern-Other
Data Not Available,Data Not Available,Data Not Available,Prop/Build/Construct-Construction Issue/Concern-Work without permit
Data Not Available,Data Not Available,Data Not Available,Prop/Build/Construct-Land Use / Zoning Issue-Number of Dwelling Units
Data Not Available,Data Not Available,Data Not Available,Prop/Build/Construct-Property Maintenance-DART
Data Not Available,Data Not Available,Data Not Available,Prop/Build/Construct-Property Maintenance-No Utilities
Data Not Available,Data Not Available,Data Not Available,Prop/Build/Construct-Services (NPD)-Question
Data Not Available,Data Not Available,Data Not Available,Property Violations
Data Not Available,Data Not Available,Data Not Available,Property and Nuisance Violations
Data Not Available,Data Not Available,Data Not Available,Public Health-Disease Control-All
Data Not Available,Data Not Available,Data Not Available,Public Health-Food Establishment-Restaurant
Data Not Available,Data Not Available,Data Not Available,Public Health-Services-Healthy Homes Information
Data Not Available,Data Not Available,Data Not Available,Public Safety-Fire-Hazardous materials
Data Not Available,Data Not Available,Data Not Available,Public Safety-Fire-Question / Feedback
Data Not Available,Data Not Available,Data Not Available,Public Safety-Police-Homeless camp
Data Not Available,Data Not Available,Data Not Available,Public Safety-Police-Other
Data Not Available,Data Not Available,Data Not Available,Sewer Investigation Referral
Data Not Available,Data Not Available,Data Not Available,Sewer-Sinkhole-Street
Data Not Available,Data Not Available,Data Not Available,Sidewalk or Curb in Disrepair
Data Not Available,Data Not Available,Data Not Available,Sidewalk to be replaced Due to City Project
Data Not Available,Data Not Available,Data Not Available,Sidewalks / Curbs / Ditch-Obstructed / Closure-Blocked
Data Not Available,Data Not Available,Data Not Available,Sidewalks / Curbs / Ditch-Unapproved Objects-Other
Data Not Available,Data Not Available,Data Not Available,Sign Violation Zoning
Data Not Available,Data Not Available,Data Not Available,Storm / Sewer-Storm Water Referral-Repair
Data Not Available,Data Not Available,Data Not Available,Storm Water / Sewer - Flood - Water Services Barricade
Data Not Available,Data Not Available,Data Not Available,Stormwater Projects
Data Not Available,Data Not Available,Data Not Available,Streets / Roadways / Alleys-Cut / Permit-District 2
Data Not Available,Data Not Available,Data Not Available,Streets / Roadways / Alleys-Markings / Paint-Bike lanes
Data Not Available,Data Not Available,Data Not Available,Streets / Roadways / Alleys-Plate-Missing / Displaced
Data Not Available,Data Not Available,Data Not Available,Streets / Roadways / Alleys-Street Services-Street Permit Research
Data Not Available,Data Not Available,Data Not Available,Trash - Missed by City
Data Not Available,Data Not Available,Data Not Available,Trash - Recycle Bin New Service
Data Not Available,Data Not Available,Data Not Available,Trash / Recycling-Dumping-ROW Central
Data Not Available,Data Not Available,Data Not Available,Trash / Recycling-Dumping-ROW South
Data Not Available,Data Not Available,Data Not Available,Trash / Recycling-Dumping-Right of Way
Data Not Available,Data Not Available,Data Not Available,Trash Missed by Contractor North
Data Not Available,Data Not Available,Data Not Available,Trash Recycle Missed by Contractor North
Data Not Available,Data Not Available,Data Not Available,Tree Pruning for Block
Data Not Available,Data Not Available,Data Not Available,Tree Removal Central Region
Data Not Available,Data Not Available,Data Not Available,Tree Removal of a City Tree
Data Not Available,Data Not Available,Data Not Available,Tree Trimming at Intersection
Data Not Available,Data Not Available,Data Not Available,Tree Trimming for City Tree
Data Not Available,Data Not Available,Data Not Available,Trees-Removal-Tree down
Data Not Available,Data Not Available,Data Not Available,Trees-Trimming-Streetlight
Data Not Available,Data Not Available,Data Not Available,Trees-Trimming-Tree Limbs
Data Not Available,Data Not Available,Data Not Available,Vehicles / Parking-Abandoned On Street-Car
Data Not Available,Data Not Available,Data Not Available,Vehicles / Parking-Illegally Parked-Street/Sidewalk
Data Not Available,Data Not Available,Data Not Available,Violations and Encroachments on the Right of Way
Data Not Available,Data Not Available,Data Not Available,Volunteer Inspection Program
Data Not Available,Data Not Available,Data Not Available,Water Leak or Pressure Problem
Data Not Available,Data Not Available,Data Not Available,Water-Leak-Ice Due to Leak
Data Not Available,Data Not Available,Data Not Available,Water-Leak-Meter
Data Not Available,Data Not Available,Data Not Available,Water-No Water / Pressure-No Water
Data Not Available,Data Not Available,Data Not Available,Water-Pipeline Referral-Materials left at site
Data Not Available,Data Not Available,Data Not Available,Water-Pipeline Referral-Pipeline/Restoration Issues
Data Not Available,Data Not Available,Data Not Available,Water-Pipeline Referral-Water Main
Data Not Available,Data Not Available,Data Not Available,Web SR - Property Maintenance - Neighborhoods
Data Not Available,Data Not Available,Data Not Available,Web SR - Streetlights
Data Not Available,Data Not Available,Data Not Available,Web SR - Trees (City Trees Only)
Data Not Available,Data Not Available,Data Not Available,Zoning Inspections and Violations
Ditch,Cleaning,District One,Ditch Cleaning (North from 27th Street )
